actual_confidence,dataset,decision,frame_idx,is_audit_frame,predicted_confidence,predicted_std,prediction_error,scene_id,source_json
0.702382,nuscenes,FULL_DETECTION,21,False,0.678732,0.212687,0.0,fcbccedd61424f1b85dcbf8f897f9754,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.709778,nuscenes,FULL_DETECTION,22,False,0.663671,0.211913,0.0,fcbccedd61424f1b85dcbf8f897f9754,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.702799,nuscenes,FULL_DETECTION,23,False,0.657515,0.212553,0.0,fcbccedd61424f1b85dcbf8f897f9754,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.724828,nuscenes,FULL_DETECTION,24,False,0.633316,0.210115,0.0,fcbccedd61424f1b85dcbf8f897f9754,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.724879,nuscenes,FULL_DETECTION,25,True,0.634649,0.21252,0.09023,fcbccedd61424f1b85dcbf8f897f9754,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.737366,nuscenes,FULL_DETECTION,26,False,0.622639,0.209833,0.0,fcbccedd61424f1b85dcbf8f897f9754,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.748225,nuscenes,FULL_DETECTION,27,False,0.635125,0.223789,0.0,fcbccedd61424f1b85dcbf8f897f9754,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.761121,nuscenes,FULL_DETECTION,28,False,0.624446,0.224913,0.0,fcbccedd61424f1b85dcbf8f897f9754,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.741035,nuscenes,FULL_DETECTION,29,False,0.576568,0.223355,0.0,fcbccedd61424f1b85dcbf8f897f9754,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.761566,nuscenes,FULL_DETECTION,30,True,0.610556,0.228485,0.15101,fcbccedd61424f1b85dcbf8f897f9754,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.75702,nuscenes,FULL_DETECTION,31,False,0.631591,0.220373,0.0,fcbccedd61424f1b85dcbf8f897f9754,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.75643,nuscenes,FULL_DETECTION,32,False,0.574118,0.219716,0.0,fcbccedd61424f1b85dcbf8f897f9754,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.783569,nuscenes,FULL_DETECTION,33,False,0.581136,0.221929,0.0,fcbccedd61424f1b85dcbf8f897f9754,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.773684,nuscenes,FULL_DETECTION,34,False,0.618459,0.228591,0.0,fcbccedd61424f1b85dcbf8f897f9754,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.78776,nuscenes,FULL_DETECTION,35,True,0.542362,0.215156,0.245398,fcbccedd61424f1b85dcbf8f897f9754,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.802764,nuscenes,FULL_DETECTION,36,False,0.590162,0.214493,0.0,fcbccedd61424f1b85dcbf8f897f9754,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.79886,nuscenes,FULL_DETECTION,37,False,0.560938,0.214469,0.0,fcbccedd61424f1b85dcbf8f897f9754,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.753167,nuscenes,FULL_DETECTION,38,False,0.524742,0.213971,0.0,fcbccedd61424f1b85dcbf8f897f9754,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.750792,nuscenes,FULL_DETECTION,0,True,0.709362,0.250918,0.04143,6f83169d067343658251f72e1dd17dbc,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.733887,nuscenes,FULL_DETECTION,1,False,0.719576,0.234262,0.0,6f83169d067343658251f72e1dd17dbc,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.753396,nuscenes,FULL_DETECTION,2,False,0.707358,0.239236,0.0,6f83169d067343658251f72e1dd17dbc,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.751864,nuscenes,FULL_DETECTION,3,False,0.711603,0.241206,0.0,6f83169d067343658251f72e1dd17dbc,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.74833,nuscenes,FULL_DETECTION,4,False,0.720179,0.238553,0.0,6f83169d067343658251f72e1dd17dbc,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.743632,nuscenes,FULL_DETECTION,5,True,0.721018,0.23736,0.022614,6f83169d067343658251f72e1dd17dbc,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.749535,nuscenes,FULL_DETECTION,6,False,0.715063,0.229201,0.0,6f83169d067343658251f72e1dd17dbc,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.751501,nuscenes,FULL_DETECTION,7,False,0.718367,0.233695,0.0,6f83169d067343658251f72e1dd17dbc,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.753058,nuscenes,FULL_DETECTION,8,False,0.769889,0.235695,0.0,6f83169d067343658251f72e1dd17dbc,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.735641,nuscenes,FULL_DETECTION,9,False,0.808852,0.235697,0.0,6f83169d067343658251f72e1dd17dbc,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.742623,nuscenes,FULL_DETECTION,10,True,0.765607,0.232387,0.022984,6f83169d067343658251f72e1dd17dbc,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.74343,nuscenes,FULL_DETECTION,11,False,0.749755,0.225226,0.0,6f83169d067343658251f72e1dd17dbc,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.742531,nuscenes,FULL_DETECTION,12,False,0.743331,0.225668,0.0,6f83169d067343658251f72e1dd17dbc,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.742072,nuscenes,FULL_DETECTION,13,False,0.786746,0.22597,0.0,6f83169d067343658251f72e1dd17dbc,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.756999,nuscenes,FULL_DETECTION,14,False,0.767728,0.225419,0.0,6f83169d067343658251f72e1dd17dbc,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.739761,nuscenes,FULL_DETECTION,15,True,0.781001,0.226381,0.04124,6f83169d067343658251f72e1dd17dbc,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
0.739564,nuscenes,FULL_DETECTION,16,False,0.74624,0.220958,0.0,6f83169d067343658251f72e1dd17dbc,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/nuscenes/nuscenes_inference.json
